"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Montessori Education Institute of the Pacific Northwest","19102 North Creek Parkway, Bothell, Washington 98011-8005","www.meipn.org","2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","30","30","NA","NA","Fall 2014","NA","Montessori Teacher Education","484303","04179400"
"Moody Bible Institute-Spokane","611 E Indiana Ave, Spokane, Washington 99207-4308","www.moody.edu/spokane/","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","","","NA","NA","Fall 2011","NA","-","14736902","00172707"
"North Seattle College","9600 College Way North, Seattle, Washington 98103-3599","www.northseattle.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Large","No","6266","6266","26%","35%","Fall 2011","$3,317","-","236072","00970400"
"Northwest College of Art & Design","16301 Creative Dr NE, Poulsbo, Washington 98370","www.ncad.edu","4-year, Private for-profit","Bachelor's degree","Rural: Fringe","No","98","98","67%","NA","Fall 2011","$22,076","-","377546","02602100"
"Northwest HVAC/R Training Center","204 E. Nora Ave, Spokane, Washington 99207","www.inwhvac.org","< 2-year, Private not-for-profit","One but less than two years certificate","City: Midsize","No","46","46","83%","NA","2014-15","$9,794","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician","434362","03283300"
"Northwest Indian College","2522 Kwina Rd, Bellingham, Washington 98226-9217","www.nwic.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Rural: Fringe","Yes","579","579","10%","26%","Fall 2011","$8,679","-","380377","02180000"
"Northwest School of Wooden Boat Building","42 N Water St, Port Hadlock, Washington 98339","www.nwswb.edu","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","Rural: Fringe","No","39","39","93%","NA","Fall 2014","$24,274","-","458140","04155000"
"Northwest University","5520 108th Ave NE, Kirkland, Washington 98083-0579","www.northwestu.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","1226","938","59%","NA","Fall 2011","$22,547","-","236133","00378300"
"Northwest University-College of Adult and Professional Studies","5520 108th Ave NE, Kirkland, Washington 98033","www.northwestu.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","966","882","NA","NA","Fall 2011","$19,161","-","487603","00378300"
"Olympic College","1600 Chester Ave, Bremerton, Washington 98337-1699","www.olympic.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","Yes","6527","6527","21%","14%","Fall 2011","$5,453","-","236188","00378400"
"Pacific Lutheran University","12180 Park Ave South, Tacoma, Washington 98447-0003","www.plu.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Suburb: Large","Yes","3070","2781","70%","NA","Fall 2011","$24,567","-","236230","00378500"
"Pacific Northwest University of Health Sciences","200 University Parkway, Yakima, Washington 98901","https://www.pnwu.edu","4-year, Private not-for-profit","Doctor's degree - professional practice","Suburb: Midsize","No","568","","NA","NA","Fall 2011","NA","-","455406","04130500"
"Paroba College of Cosmetology","9930 Evergreen Way, Building Y, Everett, Washington 98203","www.paroba.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","141","141","73%","NA","2014-15","$14,808","Aesthetician/Esthetician and Skin Care Specialist","235158","02184200"
"Paul Mitchell the School-Richland","71 Gage Blvd., Richland, Washington 99352","paulmitchell.edu/richland","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","158","158","77%","NA","2014-15","$14,437","Cosmetology/Cosmetologist, General","234924","03065000"
"Paul Mitchell the School-Spokane","15303 East Sprague Avenue, Suite C, Spokane Valley, Washington 99037-5041","paulmitchell.edu/spokane/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","166","166","57%","4%","Fall 2014","$13,171","Cosmetology/Cosmetologist, General","462071","04191900"
"Peninsula College","1502 E Lauridsen Blvd, Port Angeles, Washington 98362","www.pencol.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Town: Remote","No","2173","2173","29%","17%","Fall 2011","$6,658","-","236258","00378600"
"Perry Technical Institute","2011 W Washington Ave., Yakima, Washington 98903-1296","www.perrytech.edu/","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","837","837","86%","NA","Fall 2014","$20,517","Instrumentation Technology/Technician","236212","00938700"
"Pierce College-Fort Steilacoom","9401 Farwest Dr SW, Lakewood, Washington 98498-1999","www.pierce.ctc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","Yes","6068","6068","24%","37%","Fall 2011","$5,976","-","235237","00500000"
"Pierce College-Puyallup","1601 39th Ave SE, Puyallup, Washington 98374-2222","www.pierce.ctc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","4094","4094","30%","46%","Fall 2014","$8,419","-","439145","00500003"
"Pima Medical Institute-Renton","555 South Renton Village Pl-Ste 400, Renton, Washington 98057","pmi.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","689","689","78%","NA","Fall 2014","$19,925","Medical/Clinical Assistant","449074","02217110"
"Pima Medical Institute-Seattle","9709 Third Ave NE Suite 400, Seattle, Washington 98115","pmi.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","607","607","77%","NA","Fall 2014","$19,959","Medical/Clinical Assistant","368629","02217105"
"Pinchot University","220 Second Avenue South Suite 400, Seattle, Washington 98104-2617","www.presidio.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Large","No","45","","NA","NA","Fall 2011","NA","-","458159","04161200"
"Professional Beauty School","2105 W Lincoln Ave #2, Yakima, Washington 98902","professionalbeautyschool.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","17","17","94%","NA","2014-15","$4,640","Cosmetology/Cosmetologist, General","413343","02236800"
"Renton Technical College","3000 NE Fourth St, Renton, Washington 98056-4123","www.rtc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Midsize","No","3587","3587","63%","9%","Fall 2011","$6,396","-","236382","01043400"
"Saint Martin's University","5000 Abbey Way SE, Lacey, Washington 98503-7500","https://www.stmartin.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","Suburb: Midsize","Yes","1586","1282","59%","29%","Fall 2011","$22,695","-","236452","00379400"
"Sanford-Brown College-Seattle","645 Andover Park West, Tukwila, Washington 98188-0000","www.sanfordbrown.edu/Seattle","4-year, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","86","86","26%","NA","Fall 2011","NA","-","446808","03031406"
"Seattle Central College","1701 Broadway Avenue, Seattle, Washington 98122","www.seattlecentral.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Large","No","6705","6705","25%","24%","Fall 2011","$4,546","-","236513","00378700"
"Seattle Film Institute","3210 16th Avenue W, Seattle, Washington 98119-1707","https://www.sfi.edu/#fronttable","4-year, Private for-profit","Two but less than 4 years certificate|Bachelor's degree|Master's degree","City: Large","No","71","49","70%","NA","Fall 2011","$35,725","-","488448","04258000"
